posicao_ranking,Artista,Musica,Observacao,prob_aparecer,prob_posicao_exata,posicao_prevista,forca_musica,dropout_score,streak_anos
231,Lynyrd Skynyrd,That Smell,,0.5733959653369576,0.1964632309626318,243.6123551060899,0.56,0.0,1
232,The Beatles,Come Together,,0.5593119290909095,0.1916376035896394,230.28372359078963,0.78,0.0,1
233,Alice Cooper,School's Out,,0.5465299014771182,0.18725808473170097,217.50253413554543,0.5900000000000001,0.072,0
234,Bon Jovi,You Give Love a Bad Name,,0.5875488276309745,0.2013124402730213,258.73918089262696,0.74,0.0,8
235,Dream Theater,Another Day,,0.6195436970308,0.21227487425670538,291.09734063223783,0.58,0.0,3
236,Metallica,Mama Said,,0.6285151626348802,0.21534877645622974,300.71902775132025,0.5800000000000001,0.0,4
237,Arctic Monkeys,Fluorescent Adolescent,,0.6150115366342119,0.21072201562396045,289.66721807526994,0.52,0.0,2
238,Heart,Barracuda,,0.6163661685061271,0.2111861544920549,293.12077144989564,0.72,0.0,3
239,Rammstein,Amerika,,0.5654997974994583,0.19375775910834925,243.86350019787236,0.46,0.0,2
240,The White Stripes,Seven Nation Army,,0.6013409898357703,0.20603806255242219,280.8925759266534,0.52,0.0,3
241,Van Halen,Can't Stop Lovin' You,,0.5707125743925422,0.19554381804948737,252.8699425349052,0.66,0.0,1
242,Asia,Heat of the Moment,,0.6153275700572541,0.21083029847060825,299.0396911598397,0.68,0.0,1
243,Lynyrd Skynyrd,Free Bird,,0.5869612155253869,0.201111106151759,270.79980839441714,0.68,0.0,1
244,Queen,Crazy Little Thing Called Love,,0.567590657402614,0.19447415252040054,252.59366392948195,0.66,0.0,1
245,Kiss,I Love It Loud,,0.4978246750846075,0.17057016448061238,183.87829382991066,0.65,0.048,0
246,Guns N' Roses,Patience,,0.5064465895032066,0.1735242996091459,192.56518577880897,0.6100000000000001,0.06399999999999999,0
247,Aerosmith,Janie's Got a Gun,,0.5685187362251516,0.19479214109214882,254.82972958513062,0.54,0.16000000000000003,0
248,The Cult,Edie (Ciao Baby),,0.5493678039004628,0.18823043806683357,240.60175561943356,0.55,0.088,0
249,The Killers,Mr. Brightside,,0.5970991036781543,0.2045846608714195,292.6503983256106,0.5,0.0,2
250,Black Sabbath,War Pigs,,0.4799446586872333,0.16444391664587452,179.43886766124228,0.6,0.11200000000000002,0
251,Black Sabbath,The Wizard,,0.5260587502341708,0.18024403378289336,225.9507552524995,0.5800000000000001,0.12799999999999997,0
252,Linkin Park,Numb,,0.6027439886701571,0.20651877344106342,306.5949246719179,0.6599999999999999,0.0,8
253,Siouxsie and the Banshees,Cities in Dust,,0.6027562059126219,0.206522959447023,307.1823926344801,0.6400000000000001,0.0,2
254,Red Hot Chili Peppers,Californication,,0.5056422591592892,0.17324871110193615,210.09449665340483,0.6000000000000001,0.0,1
255,Sex Pistols,Anarchy in the U.K.,,0.612644853380655,0.2099111165825176,318.8537859146069,0.64,0.0,1
256,Audioslave,Like a Stone,,0.5320837106452659,0.1823083719721063,242.29154151591433,0.6000000000000001,0.0,1
257,Guns N' Roses,Welcome to the Jungle,,0.49394448960902365,0.16924069266471026,204.34867709733626,0.56,0.144,0
258,David Bowie,Ziggy Stardust,,0.4960112478817952,0.169948828111127,207.09444568068886,0.5800000000000001,0.0,1
259,System of a Down,Chop Suey!,,0.5885287721345098,0.20164819963473132,300.01735719832016,0.44000000000000006,0.0,1
260,Bill Haley & His Comets,Rock Around the Clock,,0.5085139863907217,0.17423265386476855,220.88961310868333,0.7400000000000001,0.0,4
261,Aerosmith,Sweet Emotion,,0.5422148543622204,0.1857796158390037,256.7702142143138,0.56,0.144,0
262,The Killers,Somebody Told Me,,0.5875143142238278,0.20130061490993986,302.7391183462436,0.5,0.0,2
263,Whitesnake,Guilty of Love,,0.4996929832417914,0.17121030476618013,215.01497792591036,0.6000000000000001,0.0,1
264,Marillion,Kayleigh,,0.5854313182413756,0.20058691592087521,303.19250130410074,0.76,0.0,2
265,Quiet Riot,Cum on Feel the Noize,,0.49106269024662663,0.16825329887760912,208.94573855924153,0.66,0.0,3
266,The Verve,Bitter Sweet Symphony,,0.5830936060472187,0.19978594326238272,302.206570496836,0.8999999999999999,0.0,16
267,Deep Purple,Woman from Tokyo,,0.5552153274819646,0.19023398089831636,276.16385683122354,0.56,0.0,1
268,The Cult,Nirvana,,0.5654516867139701,0.1937412748619775,288.4806231997529,0.48,0.0,1
269,Van Halen,Runnin' with the Devil,,0.487826431372167,0.16714445627468955,211.03111968137546,0.6200000000000001,0.0,1
270,The Cult,Love Removal Machine,,0.5093178004014804,0.17450806546023365,232.6593152695141,0.5,0.0,2
271,Peter Frampton,Show Me the Way,,0.5561851647784313,0.1905662772175971,281.5763117153509,0.8,0.0,4
272,The Mamas & the Papas,California Dreamin',,0.5153265327206842,0.17656684340215137,241.06778189746663,0.7,0.0,1
273,Van Halen,Right Now,,0.48991296153610736,0.1678593661838791,217.87877251625173,0.64,0.0,1
274,U2,Beautiful Day,,0.5624926256307963,0.19272740881449935,290.66733252533265,0.62,0.0,3
275,Badfinger,Day After Day,,0.5686038549710888,0.19482130541288567,300.1902228582255,0.76,0.0,4
276,Iggy Pop,The Passenger,,0.556642049613714,0.190722820123972,288.34068452416466,0.68,0.0,1
277,James Brown,I Got You (I Feel Good),,0.51662274553922,0.17701096609177494,248.38671165822277,0.66,0.0,1
278,The Doors,People Are Strange,,0.47690098935503605,0.16340106118972572,208.8146422456393,0.5800000000000001,0.12799999999999997,0
279,Oasis,Champagne Supernova,,0.5354568529043922,0.18346411506551139,268.856662276007,0.5,0.0,1
280,The Doors,Gloria,,0.5109157743392855,0.17505558086284165,245.76946925276033,0.64,0.0,1
281,Green Day,Boulevard of Broken Dreams,,0.535908446343658,0.18361884497559638,272.9846725342387,0.52,0.0,3
