posicao_ranking,Artista,Musica,Observacao,prob_aparecer,prob_posicao_exata,posicao_prevista,forca_musica,dropout_score,streak_anos
1,Pink Floyd,Another Brick in the Wall,,0.9732638813881931,0.22228074715382756,16.873107397950392,1.0,0.0,25
2,Deep Purple,Smoke on the Water,,0.9798933044936317,0.2237948207255026,26.237746311593273,1.0,0.0,25
3,Iron Maiden,Fear of the Dark,,0.9851701450128958,0.22499998211663597,37.90742093023226,0.8999999999999999,0.0,17
4,Eagles,Hotel California,,0.960140248967138,0.21928348107244014,20.35387446335197,1.0,0.0,25
5,Led Zeppelin,Kashmir,,0.9708169034218781,0.22172188937535373,36.67384606069113,1.0,0.0,25
6,Metallica,One,,0.9664976769406054,0.22073543451173083,33.376689465897876,0.8799999999999999,0.0,14
7,Queen,Bohemian Rhapsody,,0.9398615357647577,0.21465208807806127,8.145714285714286,1.0,0.0,25
8,Led Zeppelin,Stairway to Heaven,,0.9410964691747872,0.2149341307247842,17.599249999999998,1.0,0.0,25
9,Iron Maiden,The Number of the Beast,,0.9687194039299761,0.22124284791174803,54.94568214650938,0.9199999999999999,0.0,16
10,Rush,Tom Sawyer,,0.9665930599714008,0.22075721874903423,53.33086196291399,1.0,0.0,25
11,The Beatles,Help!,,0.9507675693544438,0.2171428835767522,54.255462218474705,0.98,0.0,24
12,Pink Floyd,Wish You Were Here,,0.9621446207843637,0.21974125339259604,67.68837535363129,0.94,0.0,16
13,AC/DC,T.N.T.,,0.9084548301255156,0.20747920708593637,34.99587313462217,0.8599999999999999,0.0,17
14,Guns N' Roses,Sweet Child O' Mine,,0.9337524953819611,0.21325686311734035,61.59762162773905,0.9199999999999999,0.0,16
15,The Rolling Stones,(I Can't Get No) Satisfaction,,0.886449942213451,0.20245357835392855,27.718264477132006,1.0,0.0,25
16,Dire Straits,Sultans of Swing,,0.9221204361213236,0.2106002528466456,66.30923097263931,0.98,0.0,8
17,Queen,We Are the Champions,,0.9087906207655477,0.2075558972783713,62.882242722698486,0.8999999999999999,0.0,6
18,Black Sabbath,Paranoid,,0.8924768921300191,0.20383005492532114,47.970755702650166,0.98,0.0,21
19,The Who,Baba O'Riley,,0.9378785531212178,0.21419920076555723,96.96818638289537,0.8200000000000001,0.0,1
20,AC/DC,Highway to Hell,,0.9496405008801236,0.21688547587124063,110.04027651569992,0.96,0.0,21
21,Journey,Don't Stop Believin',,0.95154636185232,0.21732074960221157,120.61646816110373,1.0,0.0,25
22,Metallica,The Unforgiven,,0.9659853172864604,0.22061841826473685,136.21268495409547,0.8599999999999999,0.0,10
23,Pearl Jam,Black,,0.8768815945687981,0.20026829283768458,50.56059735286129,0.9199999999999999,0.0,10
24,Led Zeppelin,Rock and Roll,,0.9139892692549523,0.20874320063207918,87.97313429190972,0.78,0.0,2
25,Dio,Rainbow in the Dark,,0.9609927370833466,0.2194781782137132,136.917560097816,0.96,0.0,21
26,Alice in Chains,Man in the Box,,0.9523805851673023,0.217511275301658,135.3249210820947,0.8999999999999999,0.0,17
27,The Beatles,Hey Jude,,0.9146190649481927,0.20888703773517606,99.01760727186605,0.86,0.0,4
28,Kiss,Detroit Rock City,,0.9231222570307983,0.21082905564569196,120.86348792709174,0.78,0.0,1
29,Pink Floyd,Comfortably Numb,,0.882396147503195,0.20152774463684997,81.14463138987922,0.76,0.0,1
30,Metallica,Nothing Else Matters,,0.9355140540697111,0.2136591800929892,140.80646321184565,0.8599999999999999,0.0,6
31,Kiss,Rock and Roll All Nite,,0.8805146310786187,0.20109803088230227,92.73572361400382,0.8600000000000001,0.0,2
32,The Doors,Light My Fire,,0.8395503331034015,0.19174232074583264,53.48145435310432,0.92,0.0,4
33,Eric Clapton,Cocaine,,0.9152155395722119,0.209023264741665,129.65819270460628,1.0,0.0,25
34,Aerosmith,Dream On,,0.8372947798327828,0.19122718186538504,59.34939006031499,0.84,0.0,3
35,Bon Jovi,Livin' on a Prayer,,0.9717633667589458,0.22193804922854485,194.90764947212497,0.8400000000000001,0.0,17
36,Metallica,Enter Sandman,,0.8662014269008735,0.19782908216280742,99.76855945432713,0.8400000000000001,0.0,16
37,AC/DC,Back in Black,,0.8840260671004075,0.20189999696512123,118.50065636591452,0.98,0.0,21
38,Steppenwolf,Born to Be Wild,,0.9245983342017111,0.21116617237495888,163.79207469439004,0.8,0.0,1
39,Nirvana,Smells Like Teen Spirit,,0.8800773072003284,0.20099815182558034,120.3000337487231,0.8999999999999999,0.0,17
40,Judas Priest,Breaking the Law,,0.9153123573765654,0.20904537666249245,170.53103297749414,0.8400000000000001,0.0,16
41,Lynyrd Skynyrd,Simple Man,,0.8530411711754627,0.19482345179747698,112.46659336903109,0.8999999999999999,0.0,20
42,Yes,Owner of a Lonely Heart,,0.8978169765940748,0.2050496604066648,159.46491356047497,1.0,0.0,25
43,Nirvana,Come as You Are,,0.8665395449665516,0.19790630390883376,131.25258346261884,0.8799999999999999,0.0,10
44,Ramones,Pet Sematary,,0.9129709008952661,0.2085106186117272,187.36331824808957,0.96,0.0,23
45,Rage Against the Machine,Killing in the Name,,0.890522195045866,0.20338362766480753,166.34004878787601,0.7,0.0,7
46,Bruce Dickinson,Tears of the Dragon,,0.8742296350896531,0.19966261996137766,152.3427550544167,0.8999999999999999,0.0,8
47,Bon Jovi,It's My Life,,0.8675457280844292,0.19813610297925274,152.00454203273068,0.74,0.0,7
48,U2,Sunday Bloody Sunday,,0.8786966333444992,0.2006828239662831,176.95554473827974,1.0,0.0,25
49,The Jimi Hendrix Experience,Foxy Lady,,0.8730696747339379,0.19939770018014688,177.95203051122266,0.86,0.0,4
50,Bruce Springsteen,Born in the U.S.A.,,0.8770253793357009,0.20030113139876518,185.0118006946626,0.98,0.0,16
51,The Rolling Stones,Start Me Up,,0.8554641937675715,0.19537683848164772,163.91495818125867,0.94,0.0,16
52,AC/DC,Hells Bells,,0.8747874304618065,0.19979001313238937,184.48167594645062,0.72,0.0,1
53,Whitesnake,Love Ain't No Stranger,,0.8722103427614855,0.19920143999157658,182.74533343310873,0.98,0.0,20
54,U2,New Year's Day,,0.8820799510186084,0.20145552949336695,193.49264944860218,0.96,0.0,14
55,David Bowie,"""Heroes""",,0.8271309286651276,0.18890589112942935,146.25422370176614,0.8999999999999999,0.0,14
56,Whitesnake,Is This Love,,0.9176160832902975,0.2095715175448723,238.66840211874307,0.98,0.0,24
57,Motörhead,Ace of Spades,,0.7871749717274101,0.17978047290401017,109.64886602746405,0.8400000000000001,0.0,10
58,Jethro Tull,Aqualung,,0.8138443059125762,0.18587140018708004,138.02752362603488,0.9400000000000001,0.0,4
59,Ozzy Osbourne,No More Tears,,0.8182172439111595,0.18687012205909284,143.5389123894499,0.9199999999999999,0.0,11
60,Black Sabbath,Iron Man,,0.7974686870327323,0.18213142291131162,126.38865546543262,0.96,0.0,17
61,Pink Floyd,Money,,0.8484558377208749,0.19377622157993157,181.76366840024068,0.96,0.0,6
62,The Rolling Stones,Gimme Shelter,,0.8008923025317903,0.18291333193480544,138.25536034127967,0.8799999999999999,0.0,9
63,Alice Cooper,No More Mr. Nice Guy,,0.8739037865685821,0.1995882004189414,217.20895075880452,1.0,0.0,25
64,Peter Frampton,Breaking All the Rules,,0.8021965326465663,0.18321120104298547,152.46140264514938,0.96,0.0,11
65,Wings,Band on the Run,,0.7977165096099921,0.18218802234820464,149.64631879873534,0.78,0.0,2
66,Bob Dylan,Hurricane,,0.8408378555929127,0.19203637405081883,200.92388633367938,0.94,0.0,17
67,Red Hot Chili Peppers,Give It Away,,0.8048476019736381,0.18381667062019572,171.42758738669983,0.7,0.0,2
68,The Beatles,Twist and Shout,,0.7886758929878733,0.18012326369854675,155.45228870747061,0.7799999999999999,0.0,3
69,Elvis Presley,Blue Suede Shoes,,0.81285954690824,0.1856464941041192,179.73332991437942,0.82,0.0,4
