ID_Musica,Artista,Musica,Genero,Pais,prob_aparicao_raw,prob_aparicao,posicao_prevista,posicao_min,posicao_max,num_aparicoes_historicas,melhor_posicao_historica,posicao_media_historica,apareceu_ano_anterior,posicao_ano_anterior,frequencia_aparicao,streak_anos,anos_desde_primeira,aparicao_unica,forca_musica,anos_desde_ultima
Iron Butterfly|||Flowers And Beads|||NONE,Iron Butterfly,Flowers And Beads,Rock psicodélico,Estados Unidos,0.42604172200930324,0.03195312915069775,305,230,380,1,432,432.0,0,,0.041666666666666664,0,23,1,0,23
Motörhead|||Born to Raise Hell|||NONE,Motörhead,Born to Raise Hell,Heavy metal,Reino Unido,0.425042165017626,0.031878162376321954,292,217,367,1,423,423.0,0,,0.06666666666666667,0,14,1,0,14
The Doors|||I Looked at You|||NONE,The Doors,I Looked at You,Rock psicodélico,Estados Unidos,0.42495508636882184,0.031871631477661644,293,218,368,1,393,393.0,0,,0.06666666666666667,0,14,1,0,14
Live|||Heaven|||NONE,Live,Heaven,Rock alternativo,Estados Unidos,0.4246887308352645,0.03185165481264484,246,171,321,1,439,439.0,0,,0.14285714285714285,0,6,1,0,6
Velvet Revolver|||Slither|||NONE,Velvet Revolver,Slither,Hard rock,Estados Unidos,0.42402132486251043,0.031801599364688286,318,243,393,1,464,464.0,0,,0.125,0,7,1,0,7
The Dave Clark Five|||Over and Over|||NONE,The Dave Clark Five,Over and Over,Pop rock,Reino Unido,0.4236712961945395,0.031775347214590466,237,162,312,1,339,339.0,0,,0.04,0,24,1,0,24
The Woolies|||Who Do You Love?|||NONE,The Woolies,Who Do You Love?,Rock,Estados Unidos,0.42183836198779234,0.03163787714908443,267,192,342,1,250,250.0,0,,0.07692307692307693,0,12,1,0,12
Iron Maiden|||Twilight Zone|||NONE,Iron Maiden,Twilight Zone,Heavy metal,Reino Unido,0.42124597816552733,0.03159344836241455,316,241,391,1,383,383.0,0,,0.041666666666666664,0,23,1,0,23
U2|||Walk On|||NONE,U2,Walk On,Rock,Irlanda,0.420900649379227,0.03156754870344203,302,227,377,1,296,296.0,0,,0.06666666666666667,0,14,1,0,14
Pearl Jam|||Dance of the Clairvoyants|||NONE,Pearl Jam,Dance of the Clairvoyants,Grunge,Estados Unidos,0.34995403001331354,0.031495862701198224,330,255,405,1,483,483.0,0,,0.2,0,4,1,0,4
